Dataset,number cross validation,Learning Rate,Number convolutions,N,Accuracy score,FPR,TPR,pecision score,Recall score,Auc score,Pr auc score,Training_time (seconds),Inference_time (seconds)
svhn_cropped,4,0.000508527,3,2,0.8545,0.016366096,0.838114905,0.847732643,0.838114905,0.982502976,0.91162273,131.2903819,0.054750919
svhn_cropped,5,0.001337468,3,8,0.8575,0.015945333,0.850151666,0.848623242,0.850151666,0.983965409,0.91800217,94.12663174,0.051214695
svhn_cropped,6,0.001087164,3,8,0.865,0.015150192,0.856372915,0.858610907,0.856372915,0.985117718,0.922857969,93.47075009,0.042456627
svhn_cropped,7,0.001041292,3,8,0.856,0.016069583,0.8449757,0.845332117,0.8449757,0.979548769,0.910956004,94.38740063,0.044382334
svhn_cropped,8,0.001057144,3,8,0.855,0.015529384,0.852121364,0.843352674,0.839134407,0.984122714,0.915556867,94.42653177,0.043531314
svhn_cropped,9,0.001039985,3,8,0.862,0.016145345,0.851945336,0.453746594,0.84402035,0.979992846,0.919394701,94.3972312,0.044102313
dmlab,0,1.77E-06,2,4,0.24,0.162192766,0.172837715,0.065979236,0.172243255,0.481364955,0.178897211,34.00027253,0.033552501
dmlab,1,0.000002,3,8,0.2134,0.168888338,0.162234615,0.065388265,0.160239854,0.48488923,0.172753947,33.28172437,0.036001132
dmlab,2,1.10E-06,3,4,0.237493,0.164385625,0.174759641,0.093000486,0.174026441,0.530327096,0.204887215,28.37251,0.040002735
dmlab,3,0.000001,2,3,0.2111,0.168992375,0.154125426,0.051238562,0.157021325,0.496102747,0.172394799,33.38645632,0.048567363
dmlab,4,1.08E-06,2,5,0.205,0.168823122,0.161358462,0.071008359,0.161983745,0.477892626,0.177996344,33.38364451,0.047523734
dmlab,5,1.21E-06,0,3,0.225,0.169926522,0.156098405,0.067783229,0.156820374,0.539019234,0.179997254,14.37458637,0.026367455
dmlab,6,1.01E-06,3,4,0.212,0.164526598,0.168732006,0.037986405,0.167001163,0.443645922,0.158834279,30.08864525,0.037235647
