Dataset,number cross validation,Learning Rate,Number convolutions,N,Accuracy score,FPR,TPR,pecision score,Recall score,Auc score,Pr auc score,Training_time (seconds),Inference_time (seconds)
citrus_leaves,4,2.61E-06,1,7,0.375,0.237103175,0.273214286,0.161458333,0.273214286,0.517428607,0.290300785,7.987808466,0.030832052
citrus_leaves,5,1.03E-06,0,2,0.362068966,0.242939666,0.266911765,0.253030303,0.266911765,0.579758383,0.328324463,6.160172939,0.025155306
citrus_leaves,6,0.00001,1,4,0.357142857,0.24222973,0.265625,0.172955975,0.265625,0.475614265,0.26570275,7.83029294,0.031024694
citrus_leaves,7,4.88E-06,3,2,0.362068966,0.236879422,0.277696078,0.294683258,0.277696078,0.513161554,0.247352453,11.81006074,0.030158758
citrus_leaves,8,1.00E-06,1,4,0.339285714,0.2496535,0.25,0.086363636,0.25,0.482996626,0.253056525,7.729333162,0.028909206
citrus_leaves,9,6.80E-05,2,7,0.375,0.23045231,0.298090815,0.299350649,0.298090815,0.602127925,0.324522379,9.469863176,0.029788017
cmaterdb,0,0.001190121,3,2,0.96,0.004435305,0.959711779,0.962200957,0.959711779,0.998616028,0.988597431,14.42124915,0.039643288
cmaterdb,1,0.00352748,0,3,0.949494949,0.005602285,0.948421053,0.949534822,0.948421053,0.997352183,0.978064013,6.726127863,0.03288579
cmaterdb,2,0.001708939,3,2,0.935,0.007216083,0.933947368,0.936581721,0.933947368,0.994125884,0.980436249,14.12437391,0.039200068
cmaterdb,3,0.001404483,3,2,0.95,0.005564969,0.94968254,0.953232323,0.94968254,0.998482307,0.988102385,13.83513546,0.034678459
cmaterdb,4,0.002601023,3,5,0.955,0.004975614,0.953838764,0.955714286,0.953838764,0.998606545,0.988732309,7.811699867,0.035242558
cmaterdb,5,0.003008519,0,2,0.97,0.003321123,0.969181287,0.969394319,0.969181287,0.995875981,0.98617606,9.750845671,0.030586958
cmaterdb,6,0.001509136,3,2,0.95,0.005552623,0.94958153,0.951478589,0.94958153,0.997195622,0.977663317,14.6140244,0.033282518
cmaterdb,7,0.001183043,3,2,0.93,0.007787192,0.929636591,0.935463205,0.929636591,0.996992287,0.983146111,13.92795873,0.038578033
cmaterdb,8,0.001770174,3,2,0.95,0.005549554,0.951428571,0.954426877,0.951428571,0.999146234,0.994708535,13.98117733,0.031368017
cmaterdb,9,0.00327486,3,8,0.955,0.004996999,0.955213033,0.95540442,0.955213033,0.998647787,0.990088139,7.958268166,0.038603783
deep_weeds,0,3.74E-06,2,7,0.535714286,0.111111111,0.111111111,0.05952381,0.111111111,0.548304252,0.133198864,29.26148081,0.034633875
deep_weeds,1,3.68E-06,2,7,0.525510204,0.111111111,0.111111111,0.058390023,0.111111111,0.486577689,0.119533118,28.82571912,0.032641649
deep_weeds,2,0.000001,3,7,0.540816327,0.111111111,0.111111111,0.060090703,0.111111111,0.438948894,0.105942467,34.75736117,0.036784649
deep_weeds,3,4.93E-05,2,7,0.464285714,0.113803296,0.095387841,0.059129305,0.095387841,0.421509156,0.097827064,29.11240602,0.033409595
deep_weeds,4,0.000001,3,7,0.530612245,0.111111111,0.111111111,0.058956916,0.111111111,0.513723736,0.121118701,34.80745363,0.034664631
deep_weeds,5,0.013422666,1,7,0.056122449,0.111111111,0.111111111,0.006235828,0.111111111,0.519333349,0.489388408,23.08037424,0.033332586
deep_weeds,6,0.00001,1,4,0.53,0.111111111,0.111111111,0.058888889,0.111111111,0.515171676,0.136892983,23.71727943,0.029337883
